20	Hagiu, A. and Wright, J. (2023). Data-enabled learning, network effects, and competitive advantage. RAND Journal of Economics, 54(4), 638–667. doi:10.1111/1756-2171.12453.	Academic synthesis	Formal theory / mechanism design	Cross-domain mechanism / foundational transfer	Derivation; key-assumption sensitivity; institutional mapping; equilibrium domain	Mechanism transfer only unless an independent AI-domain identification argument supports magnitude transfer.	Yes
21	Heim, L., Fist, T., Egan, J., Huang, S., Zekany, S., Trager, R., Osborne, M.A. and Zilberman, N. (2024). Governing Through the Cloud: The Intermediary Role of Compute Providers in AI Regulation. arXiv:2403.08501.	Academic synthesis	Review / synthesis / framework	Direct AI-governance evidence	Search/selection transparency; scope; evidence heterogeneity; inferential discipline	Framework/synthesis use only within stated scope; underlying primary evidence controls effect claims.	No
22	Hyman, W.A., Johnston, W.L. and Spar, S. (1989). Legal liability and system safety applied to expert systems. Computers & Industrial Engineering. doi:10.1016/0360-8352(89)90159-9.	Academic synthesis	Legal / doctrinal / institutional analysis	AI-market / adoption / algorithmic-adjacent evidence	Jurisdiction; authority; temporal validity; contested interpretation; institutional competence	Legal/institutional interpretation or feasibility; not a realised welfare-effect estimate.	No
23	Mao, R., Huang, T. and Shen, H. (2026). Optimal Liability Design for Medical AI. arXiv:2608.03114.	Academic synthesis	Formal theory / mechanism design	Direct AI-governance evidence	Derivation; key-assumption sensitivity; institutional mapping; equilibrium domain	Mechanism/equilibrium proposition within model assumptions; no empirical magnitude by itself.	No
24	Qiu, T., Laufer, B., Kleinberg, J. and Heidari, H. (2025). Modeling the Economic Impacts of AI Openness Regulation. Advances in Neural Information Processing Systems, 38, 37075–37107. doi:10.52202/085713-1246.	Academic synthesis	Formal theory / mechanism design	Direct AI-governance evidence	Derivation; key-assumption sensitivity; institutional mapping; equilibrium domain	Mechanism/equilibrium proposition within model assumptions; no empirical magnitude by itself.	Yes
25	Roberts, H., Taddeo, M. and Floridi, L. (2026). A Framework for Evaluating Global AI Governance Initiatives. Global Policy, 17(2), 189–199. doi:10.1111/1758-5899.70164.	Academic synthesis	Review / synthesis / framework	Direct AI-governance evidence	Search/selection transparency; scope; evidence heterogeneity; inferential discipline	Framework/synthesis use only within stated scope; underlying primary evidence controls effect claims.	No
26	Schrepel, T. (2025). Decoding the AI Act: Implications for Competition Law and Market Dynamics. Journal of Competition Law & Economics, 21(3), 374–389. doi:10.1093/joclec/nhaf007.	Academic synthesis	Legal / doctrinal / institutional analysis	Direct AI-governance evidence	Jurisdiction; authority; temporal validity; contested interpretation; institutional competence	Legal/institutional interpretation or feasibility; not a realised welfare-effect estimate.	No
27	Schuett, J. (2025). Three lines of defense against risks from AI. AI & Society, 40(2), 493–507. doi:10.1007/s00146-023-01811-0.	Academic synthesis	Legal / doctrinal / institutional analysis	Direct AI-governance evidence	Jurisdiction; authority; temporal validity; contested interpretation; institutional competence	Legal/institutional interpretation or feasibility; not a realised welfare-effect estimate.	No
28	Schuett, J. (2025). Frontier AI developers need an internal audit function. Risk Analysis, 45, 1332–1352. doi:10.1111/risa.17665.	Academic synthesis	Legal / doctrinal / institutional analysis	Direct AI-governance evidence	Jurisdiction; authority; temporal validity; contested interpretation; institutional competence	Legal/institutional interpretation or feasibility; not a realised welfare-effect estimate.	No
29	Tallberg, J., Erman, E., Furendal, M., Geith, J., Klamberg, M. and Lundgren, M. (2023). The Global Governance of Artificial Intelligence: Next Steps for Empirical and Normative Research. International Studies Review, 25(3), viad040. doi:10.1093/isr/viad040.	Academic synthesis	Review / synthesis / framework	Direct AI-governance evidence	Search/selection transparency; scope; evidence heterogeneity; inferential discipline	Framework/synthesis use only within stated scope; underlying primary evidence controls effect claims.	No
30	Xu, F., Wang, X., Chen, W. and Xie, K. (2025). The Economics of AI Foundation Models: Openness, Competition, and Governance. arXiv:2510.15200.	Academic synthesis	Formal theory / mechanism design	Direct AI-governance evidence	Derivation; key-assumption sensitivity; institutional mapping; equilibrium domain	Mechanism/equilibrium proposition within model assumptions; no empirical magnitude by itself.	No
31	Birhane, A., Steed, R., Ojewale, V., Vecchione, B. and Raji, I.D. (2024). AI auditing: The Broken Bus on the Road to AI Accountability. 2024 IEEE Conference on Secure and Trustworthy Machine Learning (SaTML). arXiv:2401.14462.	Academic synthesis	Review / synthesis / framework	Direct AI-governance evidence	Search/selection transparency; scope; evidence heterogeneity; inferential discipline	Framework/synthesis use only within stated scope; underlying primary evidence controls effect claims.	Yes
32	Bornstein, M., Che, Z., Julapalli, S., Mohamed, A., Bedi, A.S. and Huang, F. (2024). Auction- Based Regulation for Artificial Intelligence. arXiv:2410.01871 (current version revised 2026).	Academic synthesis	Formal theory / mechanism design	Direct AI-governance evidence	Derivation; key-assumption sensitivity; institutional mapping; equilibrium domain	Mechanism/equilibrium proposition within model assumptions; no empirical magnitude by itself.	No
33	Bommasani, R., Klyman, K., Longpre, S., Kapoor, S., Maslej, N., Xiong, B., Zhang, D. and Liang, P. (2023). The Foundation Model Transparency Index. arXiv:2310.12941.	Academic synthesis	Observational / descriptive empirical	Direct AI-governance evidence	Confounding; selection; measurement; denominator and sampling frame	Descriptive/associational use unless an identification design justifies stronger language.	No
34	Costanza-Chock, S., Raji, I.D. and Buolamwini, J. (2022). Who Audits the Auditors? Recommendations from a Field Scan of the Algorithmic Auditing Ecosystem. Proceedings of the 2022 ACM Conference on Fairness, Accountability, and Transparency, 1571–1583. doi:10.1145/3531146.3533213.	Academic synthesis	Observational / descriptive empirical	Direct AI-governance evidence	Confounding; selection; measurement; denominator and sampling frame	Descriptive/associational use unless an identification design justifies stronger language.	No
35	Hacker, P., Engel, A. and Mauer, M. (2023). Regulating ChatGPT and Other Large Generative AI Models. Proceedings of the 2023 ACM Conference on Fairness, Accountability, and Transparency. doi:10.1145/3593013.3594067.	Academic synthesis	Legal / doctrinal / institutional analysis	Direct AI-governance evidence	Jurisdiction; authority; temporal validity; contested interpretation; institutional competence	Legal/institutional interpretation or feasibility; not a realised welfare-effect estimate.	No
36	Hadfield, G.K. (2026). Legal Infrastructure for Transformative AI Governance. Proceedings of the National Academy of Sciences, 123(30), e2509742123. doi:10.1073/pnas.2509742123.	Academic synthesis	Legal / doctrinal / institutional analysis	Direct AI-governance evidence	Jurisdiction; authority; temporal validity; contested interpretation; institutional competence	Legal/institutional interpretation or feasibility; not a realised welfare-effect estimate.	No
37	Heim, L. and Koessler, L. (2024). Training Compute Thresholds: Features and Functions in AI Regulation. arXiv:2405.10799.	Academic synthesis	Review / synthesis / framework	Direct AI-governance evidence	Search/selection transparency; scope; evidence heterogeneity; inferential discipline	Framework/synthesis use only within stated scope; underlying primary evidence controls effect claims.	No
