40	von Ingersleben-Seip, N. and Mügge, D. (2026). Global, selective, or both? The case for differentiated cooperation in AI governance. Policy Sciences, 59, 203–223. doi:10.1007/s11077- 026-09606-y.	Academic synthesis	Legal / doctrinal / institutional analysis	Direct AI-governance evidence	Jurisdiction; authority; temporal validity; contested interpretation; institutional competence	Legal/institutional interpretation or feasibility; not a realised welfare-effect estimate.	No
41	Mökander, J. and Floridi, L. (2023). Operationalising AI governance through ethics-based auditing: an industry case study. AI and Ethics, 3, 451–468. doi:10.1007/s43681-022-00171-7.	Academic synthesis	Qualitative / case / interview	Direct AI-governance evidence	Sampling; triangulation; coverage/saturation; coding; inferential scope	Reported process or institutional constraint; no prevalence or treatment-effect claim without design support.	No
42	Raji, I.D., Xu, P., Honigsberg, C. and Ho, D.E. (2022). Outsider Oversight: Designing a Third Party Audit Ecosystem for AI Governance. Proceedings of the 2022 AAAI/ACM Conference on AI, Ethics, and Society, 557–571. doi:10.1145/3514094.3534181.	Academic synthesis	Legal / doctrinal / institutional analysis	Direct AI-governance evidence	Jurisdiction; authority; temporal validity; contested interpretation; institutional competence	Legal/institutional interpretation or feasibility; not a realised welfare-effect estimate.	No
43	Schuett, J. (2024). Risk Management in the Artificial Intelligence Act. European Journal of Risk Regulation, 15(2), 367–385. doi:10.1017/err.2023.1.	Academic synthesis	Legal / doctrinal / institutional analysis	Direct AI-governance evidence	Jurisdiction; authority; temporal validity; contested interpretation; institutional competence	Legal/institutional interpretation or feasibility; not a realised welfare-effect estimate.	No
44	Terzis, P., Veale, M. and Gaumann, N. (2024). Law and the Emerging Political Economy of Algorithmic Audits. Proceedings of the 2024 ACM Conference on Fairness, Accountability and Transparency. arXiv:2406.11855.	Academic synthesis	Legal / doctrinal / institutional analysis	Direct AI-governance evidence	Jurisdiction; authority; temporal validity; contested interpretation; institutional competence	Legal/institutional interpretation or feasibility; not a realised welfare-effect estimate.	Yes
45	Ulnicane, I. (2025). Governance fix? Power and politics in controversies about governing generative AI. Policy and Society, 44(1), 70–84. doi:10.1093/polsoc/puae022.	Academic synthesis	Qualitative / case / interview	Direct AI-governance evidence	Sampling; triangulation; coverage/saturation; coding; inferential scope	Reported process or institutional constraint; no prevalence or treatment-effect claim without design support.	No
46	Korinek, A. and Vipra, J. (2025). Concentrating intelligence: scaling and market structure in artificial intelligence. Economic Policy, 40(121), 225–256. doi:10.1093/epolic/eiae057.	Academic synthesis	Review / synthesis / framework	AI-market / adoption / algorithmic-adjacent evidence	Search/selection transparency; scope; evidence heterogeneity; inferential discipline	Framework/synthesis use only within stated scope; underlying primary evidence controls effect claims.	No
47	Wei, K., Ezell, C., Gabrieli, N. and Deshpande, C. (2024). How Do AI Companies “Fine-Tune” Policy? Examining Regulatory Capture in AI Governance. Proceedings of the AAAI/ACM Conference on AI, Ethics, and Society, 7, 1539–1555. doi:10.1609/aies.v7i1.31745.	Academic synthesis	Qualitative / case / interview	Direct AI-governance evidence	Sampling; triangulation; coverage/saturation; coding; inferential scope	Reported process or institutional constraint; no prevalence or treatment-effect claim without design support.	No
48	Acemoglu, D. (2025). The Simple Macroeconomics of AI. Economic Policy, 40(121), 13–58. doi:10.1093/epolic/eiae042.	Academic synthesis	Structural / calibrated quantitative	AI-market / adoption / algorithmic-adjacent evidence	Identification/calibration basis; parameter sensitivity; counterfactual dependence	Model-dependent counterfactual; not a reduced-form treatment effect.	No
49	Gans, J.S. (2025). How learning about harms impacts the optimal rate of artificial intelligence adoption. Economic Policy, 40(121), 199–219. doi:10.1093/epolic/eiae053.	Academic synthesis	Formal theory / mechanism design	Direct AI-governance evidence	Derivation; key-assumption sensitivity; institutional mapping; equilibrium domain	Mechanism/equilibrium proposition within model assumptions; no empirical magnitude by itself.	Yes
