140	Lambrecht, A. and Tucker, C.E. (2015). Can Big Data Protect a Firm from Competition? SSRN Working Paper. doi:10.2139/ssrn.2705530.	Academic synthesis	Review / synthesis / framework	Cross-domain mechanism / foundational transfer	Search/selection transparency; scope; evidence heterogeneity; inferential discipline	Mechanism transfer only unless an independent AI-domain identification argument supports magnitude transfer.	No
141	Scott Morton, F., Bouvier, P., Ezrachi, A., Jullien, B., Katz, R., Kimmelman, G., Melamed, A.D. and Morgenstern, J. (2019). Committee for the Study of Digital Platforms: Market Structure and Antitrust Subcommittee Report. Stigler Center for the Study of the Economy and the State, University of Chicago Booth School of Business, draft report, 15 May 2019.	Policy/context	Policy / context document	Cross-domain mechanism / foundational transfer	Institutional provenance; authority; date; scope; descriptive fit only	Context layer only; does not count as academic effect evidence.	No
142	O’Halloran, S. and Nowaczyk, N. (2019). An Artificial Intelligence Approach to Regulating Systemic Risk. Frontiers in Artificial Intelligence, 2, Article 7. doi:10.3389/frai.2019.00007.	Academic synthesis	Computational / simulation / tool validation	Cross-domain mechanism / foundational transfer	Environment validity; parameter dependence; benchmark; empirical calibration	Mechanism transfer only unless an independent AI-domain identification argument supports magnitude transfer.	No
143	Acemoglu, D. and Restrepo, P. (2018). The Race between Man and Machine: Implications of Technology for Growth, Factor Shares, and Employment. American Economic Review, 108(6), 1488–1542. doi:10.1257/aer.20160696.	Academic synthesis	Formal theory / mechanism design	Cross-domain mechanism / foundational transfer	Derivation; key-assumption sensitivity; institutional mapping; equilibrium domain	Mechanism transfer only unless an independent AI-domain identification argument supports magnitude transfer.	No
144	Brynjolfsson, E., Mitchell, T. and Rock, D. (2018). What Can Machines Learn, and What Does It Mean for Occupations and the Economy? AEA Papers and Proceedings, 108, 43–47. doi:10.1257/pandp.20181019.	Academic synthesis	Observational / descriptive empirical	AI-market / adoption / algorithmic-adjacent evidence	Confounding; selection; measurement; denominator and sampling frame	Descriptive/associational use unless an identification design justifies stronger language.	No
145	Wallach, W. and Marchant, G.E. (2018). An Agile Ethical/Legal Model for the International and National Governance of AI and Robotics. Proceedings of the 2018 AAAI/ACM Conference on Artificial Intelligence, Ethics and Society, 7 pp.	Academic synthesis	Legal / doctrinal / institutional analysis	Direct AI-governance evidence	Jurisdiction; authority; temporal validity; contested interpretation; institutional competence	Legal/institutional interpretation or feasibility; not a realised welfare-effect estimate.	No
146	Autor, D.H. (2015). Why Are There Still So Many Jobs? The History and Future of Workplace Automation. Journal of Economic Perspectives, 29(3), 3–30. doi:10.1257/jep.29.3.3.	Academic synthesis	Review / synthesis / framework	Cross-domain mechanism / foundational transfer	Search/selection transparency; scope; evidence heterogeneity; inferential discipline	Mechanism transfer only unless an independent AI-domain identification argument supports magnitude transfer.	No
147	Keohane, R.O. and Victor, D.G. (2011). The Regime Complex for Climate Change. Perspectives on Politics, 9(1), 7–23. doi:10.1017/S1537592710004068.	Academic synthesis	Legal / doctrinal / institutional analysis	Cross-domain mechanism / foundational transfer	Jurisdiction; authority; temporal validity; contested interpretation; institutional competence	Mechanism transfer only unless an independent AI-domain identification argument supports magnitude transfer.	No
148	Sutton, S.G., Young, R. and McKenzie, P. (1995). An Analysis of Potential Legal Liability Incurred Through Audit Expert Systems. Intelligent Systems in Accounting, Finance and Management, 4(3), 191–204. doi:10.1002/j.1099-1174.1995.tb00091.x.	Academic synthesis	Legal / doctrinal / institutional analysis	AI-market / adoption / algorithmic-adjacent evidence	Jurisdiction; authority; temporal validity; contested interpretation; institutional competence	Legal/institutional interpretation or feasibility; not a realised welfare-effect estimate.	No
149	Wigan, M.R. (1987). Legal and Ethical Issues in Expert Systems Used in Planning. Environment and Planning B: Planning and Design, 14(3), 305–321. doi:10.1068/b140305.	Academic synthesis	Legal / doctrinal / institutional analysis	AI-market / adoption / algorithmic-adjacent evidence	Jurisdiction; authority; temporal validity; contested interpretation; institutional competence	Legal/institutional interpretation or feasibility; not a realised welfare-effect estimate.	No
150	Zahedi, F. (1987). Artificial Intelligence and the Management Science Practitioner: The Economics of Expert Systems and the Contribution of MS/OR. Interfaces, 17(5), 72–81. doi:10.1287/inte.17.5.72.	Academic synthesis	Review / synthesis / framework	AI-market / adoption / algorithmic-adjacent evidence	Search/selection transparency; scope; evidence heterogeneity; inferential discipline	Framework/synthesis use only within stated scope; underlying primary evidence controls effect claims.	No
151	Simon, H.A. (1955). A Behavioral Model of Rational Choice. Quarterly Journal of Economics, 69(1), 99–118. doi:10.2307/1884852.	Academic synthesis	Formal theory / mechanism design	Cross-domain mechanism / foundational transfer	Derivation; key-assumption sensitivity; institutional mapping; equilibrium domain	Mechanism transfer only unless an independent AI-domain identification argument supports magnitude transfer.	No
